tahun,jenis,perpustakaan,jumlah
2015,Pengunjung,CIKINI,72758
2015,Pengunjung,KUNINGAN,13529
2015,Pengunjung,"KPAK Jakpus 
(Stationary)",15108
2015,Pengunjung,KPAK Jakpus (Pusling),24717
2015,Pengunjung,KPAK Jaktim (Stationary),13211
2015,Pengunjung,KPAK Jaktim (Pusling),47509
2015,Pengunjung,KPAK Jakbar (Stationary),28384
2015,Pengunjung,KPAK Jakbar (Pusling),0
2015,Pengunjung,KPAK Jaksel (Stationary),18956
2015,Pengunjung,KPAK Jaksel (Pusling),18690
2015,Pengunjung,KPAK Jakut (Stationary),18548
2015,Pengunjung,KPAK Jakut (Pusling),20609
2015,Pengunjung,KPAK Pulau 1000 (Stationary),8579
2015,Pengunjung,Permata 1,7549
2015,Pengunjung,Permata 2,3819
