tahun,jenis,perpustakaan,jumlah
2018,Pengunjung,Cikini,79114
2018,Pengunjung,Kuningan,5447
2018,Pengunjung,PDS HB Jassin,2749
2018,Pengunjung,Perpustakaan Digital iJakarta,20736
2018,Pengunjung,Sudin Pusip Jakpus (Stationary),23719
2018,Pengunjung,Sudin Pusip Jakpus (Pusling),154044
2018,Pengunjung,Sudin Pusip Jakpus (RPTRA),219972
2018,Pengunjung,Sudin Pusip Jaktim (Stationary),22891
2018,Pengunjung,Sudin Pusip Jaktim (Pusling),135195
2018,Pengunjung,Sudin Pusip Jaktim (RPTRA),39194
2018,Pengunjung,Sudin Pusip Jakbar (Stationary),47328
2018,Pengunjung,Sudin Pusip Jakbar (Pusling),237715
2018,Pengunjung,Sudin Pusip Jakbar (RPTRA),511065
2018,Pengunjung,Sudin Pusip Jaksel (Stationary),28955
2018,Pengunjung,Sudin Pusip Jaksel (Pusling),683
2018,Pengunjung,Sudin Pusip Jaksel (RPTRA),475141
2018,Pengunjung,Sudin Pusip Jakut (Stationary),37791
2018,Pengunjung,Sudin Pusip Jakut (Pusling),109919
2018,Pengunjung,Sudin Pusip Jakut (RPTRA),691603
2018,Pengunjung,Sudin Pusip Pulau 1000 (Stationary),65658
2018,Pengunjung,Sudin Pusip Pulau 1000 (RPTRA),136589
2018,Pengunjung,Permata 1,9778
2018,Pengunjung,Permata 2,10538
