tahun,jenis,perpustakaan,jumlah
2017,Pengunjung,Cikini,83619
2017,Pengunjung,Kuningan,53821
2017,Pengunjung,"KPAK Jakpus 
(Stationary)",20411
2017,Pengunjung,KPAK Jakpus (Pusling),105747
2017,Pengunjung,KPAK Jaktim (Stationary),2877
2017,Pengunjung,KPAK Jaktim (Pusling),46985
2017,Pengunjung,KPAK Jakbar (Stationary),32509
2017,Pengunjung,KPAK Jakbar (Pusling),66570
2017,Pengunjung,KPAK Jaksel (Stationary),28923
2017,Pengunjung,KPAK Jaksel (Pusling),57755
2017,Pengunjung,KPAK Jakut (Stationary),22027
2017,Pengunjung,KPAK Jakut (Pusling),77320
2017,Pengunjung,KPAK Pulau 1000 (Stationary),58916
2017,Pengunjung,Permata 1,18139
2017,Pengunjung,Permata 2,18223
